航班日期,出发地编码,目的地编码,均分,评论
2019/2/3,HGH,NNG,5,安检很快，空乘服务好，值机快捷，座椅舒适，
2019/2/9,JJN,NNG,4.71,餐食好吃，
2019/2/11,HGH,NNG,3.5,延误，晚点1小时。行李运输野蛮，杭州到南宁，2家人的箱子都有破损现象。
2019/2/13,JJN,NNG,3,[doge]
2019/2/15,HGH,JJN,5,不错
2019/2/5,NNG,CTU,5,值机快捷，座椅舒适，安检很快，准时抵达，空乘服务好，
2019/2/15,NNG,CTU,4.81,安检很快，空乘服务好，准时抵达，值机快捷，
2019/2/24,NNG,CTU,3.27,"本次执飞的飞机机龄较老，座椅显得稍微旧了些，座位高度太低了，我173靠过去头还有半个垫不着，靠着并不是很舒服，不过座位间距还可以，腿部空间是够的，座位宽度一般般吧。
出发准时甚至提前了差不多十分钟，到达成都也比计划提前了近半小时。机上CC态度不错，就是飞行过程中好吵，不知道是不是坐在发动机旁边的缘故。另外机上有发面条早餐和一瓶水，面条也就凑合着吃吧。整个飞行过程有颠簸但是不多整体还是平稳的。"
2019/2/11,CTU,NNG,5,准时抵达，值机快捷，安检很快，空乘服务好，座椅舒适，餐食好吃，
2019/2/22,CTU,NNG,3,飞机不稳、晕机！
2019/2/21,NNG,FOC,5,没有延误非常好!
2019/2/6,FOC,NNG,5,除了延误以为，其他都可以
2019/2/10,FOC,NNG,4.71,服务很好！座位也宽敞。
2019/2/13,FOC,NNG,4.6,航班准时，服务周到，心情顺畅！
2019/2/3,WUH,SHE,2.5,客舱拥挤，空乘态度差，餐食难吃，
2019/2/17,NNG,WUH,1,空乘服务好，但是起飞阶段一路的气流颠簸了很久，晚点一些但最后也提前到达
2019/2/2,SHE,WUH,5,准时抵达，
2019/2/4,WUH,NNG,5,空乘服务好，座椅舒适，安检很快，准时抵达，机场商品多，
2019/2/5,SHE,WUH,5,机场商品多，值机快捷，座椅舒适，餐食好吃，安检很快，空乘服务好，准时抵达，
2019/2/9,SHE,NNG,1,客舱拥挤，延误，餐食难吃，不建议乘坐武汉中转航班。延误是一定的。
2019/2/13,SHE,NNG,5,值机快捷，座椅舒适，餐食好吃，安检很快，
2019/2/13,SHE,WUH,5,空乘服务好，
2019/2/13,WUH,NNG,5,座椅舒适，准时抵达，空乘服务好，
2019/2/22,SHE,WUH,5,服务态度很好答
2019/2/23,SHE,WUH,2.94,准时抵达，
2019/2/1,NNG,CKG,5,准时抵达，空乘服务好，
2019/2/3,NNG,CKG,3.83,准时抵达，
2019/2/12,NNG,CKG,5,非常好
2019/2/14,NNG,CKG,2.86,延误，餐食难吃，/这个晚点起来是个没完没了，其他没得说！空乘人员很热心，服务态度很好！错过了点，就一瓶矿泉水、一包饼干，算是体验到饥寒交迫了，无语中！珍爱生命，尽量避免晚上飞吧……
2019/2/21,NNG,CKG,3.57,延误，延误了100分钟牛皮
2019/2/19,CKG,NNG,5,很好
2019/2/2,NNG,NKG,5,准时抵达，空乘服务好，值机快捷，
2019/2/12,NNG,NKG,3.5,延误，安检很慢，
2019/2/14,NNG,NKG,5,机场商品多，座椅舒适，空乘服务好，餐食好吃，
2019/2/16,NNG,NKG,5,准时抵达，空乘服务好，餐食好吃，座椅舒适，安检很快，值机快捷，
2019/2/23,NKG,NNG,4.77,虽然晚点但是深航机上服务还是不错的，饭菜还可以，推荐空乘服务好，
2019/2/9,NKG,CGQ,4.21,虽然说延误八个小时主要是南京天气的原因，可是服务真是有问题，换了四个登机口，登机指示牌信息更新就一次19点多登机了，迈显示14:18登机，服务人员一问三不知[吃惊]/餐食好吃，准时抵达，座椅舒适，机场商品多，
2019/2/10,NNG,NKG,5,准时抵达，座椅舒适，安检很快，空乘服务好，值机快捷，机场商品多，餐食好吃，
2019/2/12,NKG,CGQ,4.14,准时抵达，机场商品多，空乘服务好，安检很快，
2019/2/12,NNG,NKG,5,座椅舒适，准时抵达，值机快捷，空乘服务好，
2019/2/22,NKG,CGQ,3.5,延误4.5小时，至凌晨，恰好南京有雾，导致备降杭州，航空公司只给调早上9点钟航班的说法，其他一概不理。
2019/2/22,NNG,NKG,4.43,空乘服务好，餐食好吃，提前到达
2019/2/5,NKG,NNG,4.86,准点率30%，竟然没有晚点，还提前半小时到了，运气不错，空姐服务也好
2019/2/9,CGQ,NKG,3.29,晚点八个半小时，别的再好也没用了
2019/2/10,CGQ,NKG,5,空乘服务好，值机快捷，
2019/2/12,CGQ,NKG,4.86,餐食好吃，值机快捷，座椅舒适，空乘服务好，
2019/2/24,NKG,NNG,2,延误，空乘机长辛苦，深圳航空对于延误四个半小时毫无表示，真的是差，以后会注意挑选航空公司。
2019/2/26,CGQ,NKG,3.4,在南京落地后出仓时间久，出来后在摆渡车上又足足等了20多分钟车才开，这中间没有任何一个机场服务人员向乘客解释，真是让人最无语的一次到达
2019/2/1,NKG,HRB,4.71,座椅舒适，值机快捷，安检很快，餐食好吃，空乘服务好
2019/2/4,NKG,HRB,3.86,延误，
2019/2/10,NKG,HRB,3.93,延误，行理转盘无位置通知/居然在哈落地没有看到行李转盘的信息，我也是醉了。找到行李，箱子轮还给摔掉一个，我的日默瓦啊，心疼。该怎么评价，这事怨谁。飞常准里没有显示行李转盘，我这通找。软件还可不可信？谁告诉我
2019/2/10,NNG,NKG,4.5,空乘服务好，座椅舒适，准时抵达，
2019/2/15,NKG,HRB,5,餐食好吃，准时抵达，空乘服务好，
2019/2/15,NNG,HRB,4.5,出发，经停，到达都停靠廊桥，准点到达，一切都挺好的。吃了两餐，早餐和午餐。要到了紧急出口的位置，脚部空间舒适。cc的服务很到位，哈尔滨新的航站楼很新很漂亮。good
2019/2/17,NNG,NKG,4.17,"空乘服务好，准时抵达，值机快捷，
emmmmm安检人太多了啦"
2019/2/21,NKG,HRB,5,除了晚点一切都好
2019/2/5,HRB,NNG,5,空乘服务好，
2019/2/7,NKG,NNG,5,很好
2019/2/9,HRB,NKG,3.33,延迟了8个小时，自己体会一下8个小时什么概念
2019/2/11,HRB,NKG,4.5,托运喷脸仪未通过，拿出来随身携带，[开心]安检很快，脱鞋子，衣服，瞬间通过，上机准时，提前二十分钟到达，飞机平稳飞行，到达等待行李二十分钟，9号转盘，有点慢，等待偏久，一路平安，顺利到家！
2019/2/12,NKG,NNG,5,值机快捷，安检很快，空乘服务好，座椅舒适，延误两小时
2019/2/17,NKG,NNG,4.87,飞机晚点将近俩小时，有茶饮，飞机餐算是小点心吧，一袋馍片，一个小蛋糕，一袋盐焗花生。到最后快到南宁的时候可能因为南宁天气太差了，颠簸很久且颠簸幅度很大，后面的男士拿着袋子吐了很久，我男朋友也吐了。
2019/2/28,HRB,NNG,4.72,机场商品多，值机窗口很多，却只开放两个，而且其中一个还是头等舱专用。空乘服务好，安检很快，座椅舒适，餐食好吃。
2019/2/5,NNG,NKG,4.86,座椅舒适，空乘服务好，准时抵达，值机快捷，安检很快，
2019/2/9,NNG,NKG,2.4,客舱拥挤，延误，深圳航空延误五个多小时无人问答，只派人发了一碗泡面，机场更是没有任何解释
2019/2/15,NNG,NKG,5,准时抵达，餐食好吃，座椅舒适，机场商品多，空乘服务好，值机快捷，安检很快，
2019/2/2,NKG,NNG,5,安检很快，座椅舒适，机场商品多，值机快捷，
2019/2/8,NKG,NNG,3.62,由于今天禄口机场延误，搞得我们出行第一天就在南京机场里折腾了9个小时！原来中午12点多到南宁，拖到晚上8：40才抵达南宁。精疲力尽。5点多上了飞机，又待了一小时才飞。完全无语！
2019/2/9,NKG,NNG,2.71,空乘服务好，
2019/2/11,NKG,NNG,5,准时抵达，空乘服务好，就是提取行李太慢，等了半个小时行李才出来
2019/2/13,NKG,NNG,4.86,准时抵达，空乘服务好，安检很快，值机快捷，从南京到南宁一路飞行平稳，空乘人员服务周到，尤其是机长的温馨提示，让大家有宾至如归的感觉，经常乘深航，可以感受到这几年由内而外的不断变化，进行。是值得选择的航空公司[称赞]
2019/2/18,CGO,DLC,5,空乘服务好，准时抵达，餐食好吃，[开心]
2019/2/26,CGO,DLC,4.88,值机快捷，空乘服务好，安检很快，座椅舒适，准时抵达，
2019/2/3,CGO,NNG,4.4,值机快捷，安检很快，空乘服务好，
2019/2/14,DLC,CGO,5,座椅舒适，安检很快，值机快捷，餐食好吃，空乘服务好，
2019/2/20,DLC,CGO,5,空乘服务好，
2019/2/1,NNG,DLC,4.4,空乘服务好，值机快捷，准时抵达，
2019/2/5,NNG,DLC,3.5,空乘服务好，
2019/2/10,NNG,NTG,5,机长真棒
2019/2/12,NNG,NTG,4.94,餐食好吃，值机快捷，机场商品多，安检很快，空乘服务好，座椅舒适，
2019/2/5,NTG,NNG,5,餐食好吃，座椅舒适，空乘服务好，值机快捷，安检很快，
2019/2/16,DLC,NNG,5,安检很快，空乘服务好，值机快捷，餐食好吃，
2019/2/9,SZX,CTU,5,空乘服务好，准时抵达，值机快捷，餐食好吃，
2019/2/1,CTU,SZX,5,座椅舒适，准时抵达，安检很快，/值机快捷，座椅舒适，空乘服务好，
2019/2/4,CTU,SZX,3.86,准时抵达，/准时抵达，
2019/2/6,CTU,SZX,5,[笑][笑]空乘服务好，值机快捷，座椅舒适，准时抵达，安检很快，餐食好吃，
2019/2/10,CTU,SZX,5,"餐食好吃，空乘服务好，准时抵达，座椅舒适，/餐食好吃，座椅舒适，空乘服务好，安检很快，机场商品多，准时抵达，值机快捷，
餐食好吃，座椅舒适，空乘服务好，安检很快，机场商品多，准时抵达，值机快捷，
餐食好吃，座椅舒适，空乘服务好，安检很快，机场商品多，准时抵达，值机快捷，"
2019/2/2,SZX,CTU,5,[笑][笑][笑][笑]
2019/2/3,SZX,CTU,5,准时抵达，座椅舒适，安检很快，
2019/2/18,SZX,CTU,4.8,空乘服务好，安检很快，座椅舒适，值机快捷，机场商品多，餐食好吃，
2019/2/21,SZX,CTU,4.8,空乘服务好，餐食好吃，准时抵达，机场商品多，
2019/2/22,SZX,CTU,5,安检很快，餐食好吃，空乘服务好，准时抵达，
2019/2/1,CTU,SZX,4.33,空乘服务好，值机快捷，但是晚点起飞两小时半，起飞时间改了两次，把希望一次又一次破了，没办法评得多么好。可惜机组那么好的服务了。
2019/2/3,CTU,SZX,4.86,"安检很快，座椅舒适，准时抵达，总之深航服务太好了！提前半天电话我，确认办理登机，然后机场直接取行李牌还走了vip, 上飞机服务好，餐好！全程称呼姓名，而我只是个国航的银卡！相比之下，国航真的要好好反思一下，即便降级之前金卡时，国航也不咋样"
2019/2/13,CTU,SZX,5,空乘服务好，
2019/2/11,SZX,CTU,4.14,空乘服务好，
2019/2/19,SZX,CTU,5,空乘服务好，餐食好吃，值机快捷，准时抵达。高峰期值机稍微有一点点慢，这个是可以理解的。提前登记，起飞稍微晚一点点但是还是提前到达。机上餐饮味道不错，但是只有卤肉饭，土豆牛肉饭还要特殊争取，感觉唯一的不足。起飞、爬升、巡航平稳，飞机安静，但是降落有点颠簸，比海航738还颠，还好在承受范围内。机上娱乐，硬件软件都不错，耳机音质比天津航空的好一点。
2019/2/5,CTU,SZX,4.57,值机快捷，安检很快，空乘服务好，准时抵达，/安检很快，准时抵达，空乘服务好，
2019/2/14,SZX,CTU,4.9,"机场商品多，空乘服务好，准时抵达，值机快捷，安检很快，座椅舒适，餐食好吃，/餐食好吃，服务好，关注细节。成都地勤服务不理想，行李等了50多分钟。/深圳飞成都，出发和到达都要摆渡车，成都摆渡还花更多时间！行李等待的时间比较长！
飞机的餐食不错！服务态度也很好！
飞机上可供阅读的读物少，两个多小时的飞行欠缺打发时间读物！"
2019/2/28,SZX,CTU,2.5,延误，候机的人员态度极差，不懂安抚飞机延误等待的时间，另外食物糟糕，完全吃不下去。深航下次不会坐了。
2019/2/7,CTU,SZX,5,准时抵达，
2019/2/22,CTU,SZX,5,准时抵达，
2019/2/1,SZX,CTU,4.64,空乘服务好，座椅舒适，准时抵达，/座椅舒适，准时抵达，安检很快，
2019/2/3,SZX,CTU,3.86,到达后舱门无法打开
2019/2/8,SZX,CTU,4,整体感觉很好，飞机很新，娱乐系统好，空乘人员服务好/准时抵达，空乘服务好，安检很快，
2019/2/12,SZX,CTU,5,准时抵达，
2019/2/15,SZX,CTU,4.71,准时抵达，空乘和其他机组人员非常有替乘客考虑的意识，特别好！
2019/2/27,SZX,CTU,5,空乘服务好，
2019/2/4,CTU,SZX,4,空乘服务好，安检很快，机场商品多，准时抵达，座椅舒适，值机快捷，
2019/2/6,CTU,SZX,5,座椅舒适，安检很快，空乘服务好，/准时抵达，空乘服务好，安检很快，值机快捷，
2019/2/12,CTU,SZX,5,空乘服务好，值机快捷，准时抵达，座椅舒适，安检很快，
2019/2/16,CTU,SZX,5,深航的服务非常好，就是位置没选好
2019/2/11,SZX,CKG,5,准时抵达，机场商品多，安检很快，座椅舒适，
2019/2/4,CKG,SZX,4,值机快捷，空乘服务好，
2019/2/8,SZX,CKG,4.71,空乘服务好，安检很快，值机快捷，准时抵达，机场商品多，
2019/2/5,CKG,SZX,4.71,安检很快，空乘服务好，提前到达。
2019/2/4,CKG,SZX,5,餐食好吃，值机快捷，安检很快，空乘服务好，准时抵达，
2019/2/9,CKG,SZX,4.29,座椅舒适，空乘服务好，准时抵达，机场商品多，/准时抵达，值机快捷，空乘服务好。
2019/2/13,CKG,SZX,4.94,座椅舒适，安检很快，机场商品多，空乘服务好，值机快捷，准时抵达，
2019/2/18,CKG,SZX,5,延误有点久[不开心]
2019/2/20,CKG,SZX,5,准时抵达，座椅舒适，空乘服务好，
2019/2/26,CKG,SZX,3.46,提前3分钟起飞提前35分钟到达，效率不错呀，最后下飞机的空姐小姐姐还乐乐呵呵的，非常开朗，深航是我一直不错的选择
2019/2/8,SZX,CKG,5,空乘服务好，餐食好吃，准时抵达，/座椅舒适，餐食好吃，值机快捷，机场商品多，空乘服务好，准时抵达，安检很快，
2019/2/10,SZX,CKG,3.57,"准时抵达，提前到达了…
机龄有点大，小桌板有点坏了…
其他都不错"
2019/2/19,SZX,CKG,5,机场商品多，准时抵达，值机快捷，安检很快，座椅舒适，餐食好吃，空乘服务好，
2019/2/20,SZX,CKG,4.4,空乘服务好，餐食好吃，值机快捷，准时抵达，
2019/2/8,SZX,CKG,5,机场商品多，餐食好吃，空乘服务好，值机快捷，准时抵达，安检很快，座椅舒适，
2019/2/13,SZX,CKG,4.14,安检很快，
2019/2/21,SZX,CKG,4,不满意是针对机长！今天4个小时的延误，我认为一主要是对机长不满意，今天的航班延误了4个多小时，一半是天气原因，还有一半都是因为机长的不专业造成的。在航班延误一个小时左右的时候，机长广播说不知道要延误多久，并提出了机上乘客可以考虑退改签，这令人错觉延误是航班本身的问题，起飞遥遥无期。而实际上，因为航路天气原因造成的延误，改签并不会令旅程加快。之后机长决定开舱门以便旅客退改签，我觉得这是今天延误这么久最大的原因。本来航班已经正常排队而且有可能能够在航路天气正常后第一时间起飞，打开舱门就前功尽弃了。之后机长又广播建议乘客下机等待，然而就过了1分钟吧，正在乘客排队准备下机时候，机长竟然又广播说：塔台通知40分钟左右可能可以起飞，“你们看看是不是还下机、或者是在飞机上等候？”作为一名机长，竟然把问题扔给乘客，造成当时机舱里一度混乱。幸亏乘务长当机立断要求所有乘客下机，否则真可能出事。要为乘务人员点赞，在机长的混乱决定下耐心向乘客解释说明安抚，真的很不容易。
2019/2/3,CKG,SZX,5,座椅舒适，安检很快，准时抵达，
2019/2/6,CKG,SZX,5,安检很快，
2019/2/10,CKG,SZX,5,空乘服务好，
2019/2/24,CKG,SZX,4.75,安检很快，值机快捷，准时抵达，
2019/2/6,SZX,CKG,3.5,延误，机舱卫生差，延误，飞机太老旧[无语]
2019/2/9,SZX,CKG,4.43,安检很快，机场商品多，值机快捷，空乘服务好，
2019/2/10,SZX,CKG,2.43,严重晚点，并且机上厕所无法使用。
2019/2/1,CKG,SZX,4.33,空乘服务好，准时抵达，安检很快，
2019/2/11,CKG,SZX,5,值机快捷，准时抵达，空乘服务好，机场商品多，安检很快，餐食好吃，座椅舒适，
2019/2/6,SZX,KMG,5,空乘服务好，值机快捷，准时抵达，餐食好吃，安检很快，机场商品多，座椅舒适，
2019/2/21,SZX,KMG,5,空乘服务好，
2019/2/5,KMG,SZX,4.92,座椅舒适，机场商品多，安检很快，值机快捷，空乘服务好，准时抵达，
2019/2/12,KMG,SZX,5,安检很快，空乘服务好，值机快捷，
2019/2/22,KMG,SZX,5,机场商品多，准时抵达，空乘服务好，餐食好吃，
2019/2/6,SZX,KMG,4,飞机降落的时候很不稳定，像坐过山车，头晕想吐，很难受
2019/2/9,SZX,KMG,4.67,准时抵达，空乘服务好，
2019/2/10,SZX,KMG,5,深圳机场蛮好的，值机很快，服务也很好，安检也快，候机的时候还可以喝喜茶。/首次乘深圳航空，空乘服务好，值机快捷，餐食好吃，座椅舒适，不错的深圳航空公司！并且提前38分钟到昆明啦！下次还来乘深圳航空公司！新年新气象，新年新征程，新年新希望，祝福深圳航空公司未来更强大！
2019/2/21,SZX,KMG,5,餐食好吃，座椅舒适，
2019/2/2,SZX,KMG,4.14,安检很快，准时抵达，就是旁边乘客没素质，一路开着手机放电影，特别吵
2019/2/8,SZX,KMG,3.71,空乘服务好，
2019/2/25,SZX,KMG,4.53,空乘服务好，餐食好吃
2019/2/24,KMG,SZX,3.5,准时抵达，
2019/2/2,CAN,CTU,4.43,安检很快，准时抵达，/准时抵达，安检很快，值机快捷，餐食好吃，空乘服务好，座椅舒适，
2019/2/10,CAN,CTU,4.2,初六的飞机上有饺子，点赞餐食好吃，空乘服务好，座椅舒适，
2019/2/11,CAN,CTU,5,准时抵达，
2019/2/15,CAN,CTU,2.43,空乘服务好，
2019/2/5,CTU,CAN,4.43,空乘服务好，准时抵达，座椅舒适，
2019/2/10,CTU,CAN,4.6,机场商品贵，
2019/2/11,CTU,CAN,1,提前一个多小时到的机场，可是机场安检很慢，只开了一半通道，也收不到航班提示和通知，结果紧赶慢赶还是错过了登机，飞机没离开廊桥就是不给上，工作人员态度恶劣。
2019/2/5,CAN,CTU,5,准时抵达，
2019/2/7,CAN,CTU,3.71,餐食好吃，准时抵达，
2019/2/9,CAN,CTU,4.25,安检很快，非常友好负责，空乘服务好，
2019/2/14,CAN,CTU,5,餐食好吃，空乘服务好，座椅舒适，准时抵达，
2019/2/18,CAN,CTU,5,服务很热情，周到
2019/2/1,CTU,CAN,4.43,准时抵达，
2019/2/12,CTU,CAN,4.43,值机快捷，准时抵达，机场商品多，空乘服务好，安检很快，
2019/2/12,CAN,CTU,4.43,准时抵达，空乘服务好，预报精准！
2019/2/17,CAN,CTU,4.57,值机快捷，安检很快，机场商品少且很贵，餐食简陋，难吃。
2019/2/19,CAN,CTU,4.14,客户服务不错，位置略小，行程还是比较满意
2019/2/23,CAN,CTU,5,值机快捷，安检很快，准时抵达，空乘服务好，一如既往喜欢的大深航，还是很不错滴～
2019/2/21,CTU,CAN,5,空乘服务好，
2019/2/14,YBP,CAN,5,餐食好吃，准时抵达，安检很快，空乘服务好，座椅舒适，
2019/2/3,CAN,KMG,4.71,准时抵达，值机快捷，安检很快，
2019/2/2,TCZ,KMG,5,安检很慢。飞行体验极差！
2019/2/4,KMG,CAN,4.86,值机快捷，服务挺好的，上飞机的时候就已经提前准备好婴儿安全带和小毯子
2019/2/11,CAN,CKG,5,空乘服务好，准时抵达，值机快捷，深航真的不错。
2019/2/9,CKG,CAN,5,机场商品多，安检很快，值机快捷，准时抵达，空乘服务好，
2019/2/8,CKG,NKG,2.4,要不就多晚点，晚点3小时57分几个意思
2019/2/14,CKG,NKG,5,准时抵达，值机快捷，空乘服务好，座椅舒适，
2019/2/15,NKG,CKG,5,空乘服务好，准时抵达，座椅舒适，
2019/2/23,NKG,CKG,4.75,安检很快，座椅舒适，空乘服务好，机场商品多，餐食好吃，值机快捷，准时抵达，
2019/2/3,CKG,NKG,5,座椅舒适，餐食好吃，空乘服务好，值机快捷，安检很快，
2019/2/8,CKG,NKG,5,值机快捷，安检很快，
2019/2/10,CKG,NKG,4.71,空乘服务好，
2019/2/12,CKG,NKG,3.67,准时抵达，值机快捷，但是没见到餐呀！位置太拥挤！
2019/2/15,CKG,NKG,5,值机快捷，餐食好吃，安检很快，机场商品多，
2019/2/21,NKG,CKG,5,座椅舒适，餐食好吃，机场商品多，准时抵达，空乘服务好，安检很快，值机快捷，/餐食好吃，机场商品多，值机快捷，空乘服务好，安检很快，准时抵达，座椅舒适，
2019/2/12,HJJ,JJN,3.8,准时抵达，空乘服务好，
2019/2/7,JJN,CTU,5,空乘服务好，餐食好吃，
2019/2/8,CTU,JJN,4,餐食好吃，空乘服务好。就是男空乘服务很差，爱理不理的。
2019/2/4,JJN,CTU,4.4,准时抵达，值机快捷，安检很快，[笑][开心]
2019/2/4,CTU,TYN,3.8,延误，餐食难吃，餐食太差，晚点两个多小时就给了一个小餐包和一瓶矿泉水
2019/2/8,TYN,CTU,4.86,"坑死了
18.55的飞机，延迟到20.25
20.25的飞机，提前到15.35
15.35的飞机，延迟到21.15
21.15的飞机，延迟到22.11
然后我延误，悲剧的2点就在机场等！"
2019/2/14,TYN,CTU,4.57,准时抵达，客舱拥挤，
2019/2/4,SZX,SHA,5,安检很快，座椅舒适，准时抵达，空乘服务好，值机快捷。[称赞]
2019/2/13,SZX,SHA,5,准时抵达，安检很快，值机快捷，
2019/2/21,SZX,SHA,5,准时抵达，空乘服务好，
2019/2/2,SHA,SZX,5,空乘服务好，值机快捷，座椅舒适，餐食好吃，
2019/2/7,SHA,SZX,4.5,座椅舒适，空乘服务好，准时抵达，飞机新，飞行平稳，美中不足:卫生间擦手纸和面巾纸用完没补充/空乘服务好，值机快捷，准时抵达，安检很快，
2019/2/8,SHA,SZX,5,餐食好吃，空乘服务好，准时抵达，
2019/2/11,SHA,SZX,5,值机安检都很慢
2019/2/20,SHA,SZX,5,值机快捷，准时抵达，安检很快，
2019/2/21,SHA,SZX,4.17,空乘服务好，
2019/2/25,SHA,SZX,4.25,准时抵达，机场商品多，座椅舒适，安检很快，
2019/2/27,SZX,SHA,4.96,准时抵达，值机快捷，空乘服务好，/准时抵达，空乘服务好，机场商品多，安检很快，/安检很快，空乘服务好，准时抵达，值机快捷，座椅舒适。飞行过程平稳，空姐服务很干练。码上飞小程序值机很方便快捷，二维码安检效率很高，登机比较有序，总体服务感觉不错。/航班准点，服务很好，网上值机很方便[称赞][称赞][称赞]
2019/2/7,SHA,SZX,4.57,准时抵达，
2019/2/10,SHA,SZX,4,机场商品多，餐食难吃，
2019/2/12,SHA,SZX,5,值机快捷，准时抵达，安检很快，
2019/2/28,SHA,SZX,5,安检很快，
2019/2/7,JJN,SZX,3,延误，行李下来很慢
2019/2/15,JJN,SZX,4.43,延误，
2019/2/15,SZX,SHA,3.71,空乘服务好，安检很快，值机快捷，座椅舒适，餐食好吃，准时抵达，
2019/2/17,SZX,SHA,5,延误了一个半小时，而且是每十分钟刷新登机时间，贵司飞机排队没有一个时间顺序么？飞机靠了廊桥却安排我们坐摆渡车爬楼梯登机，这是什么操作？优点还是有的，飞机餐比较好吃，当然也有延误导致我饿了的缘故，土豆牛肉炖的火候很好，猪肉的我也吃了一口挺好吃的
2019/2/23,SZX,SHA,5,空乘服务好，提醒也到位，但是今天天气不好，气流严重，导致起飞一个小时里都是颠簸，不懂开飞机，但是作为乘客体验真的很差，飞机感觉要抖爆似的，突然下降也难受得要命，非常烦躁，还有安全出口那款行李架莫名有沙沙声，类似漏气的声音伴随全程。
2019/2/2,SHA,SZX,5,准时抵达，值机快捷，空乘服务好，安检很快，座椅舒适，
2019/2/8,SHA,SZX,4.82,餐食好吃，空乘服务好，座椅舒适，准时抵达，
2019/2/20,SHA,SZX,4.71,机场商品多，空乘服务好，座椅舒适，
2019/2/21,SHA,SZX,4.2,座椅舒适，安检很快，空乘服务好，
2019/2/28,SHA,SZX,4.87,虽然航班因军事活动延误了，但机上服务非常到位。驾驶舱广播主动向旅客道歉延误的事情，让旅客得到安慰。这次航班基本满员，行李也很多，行李架都放不下了。空乘主动帮旅客另行安置多出的行李，落地后主动送还，飞行过程中的服务很热情。基本上一天飞下来的最后一个航班，空乘都处于最累的时刻，能做到这种程度，已经是非常尽力了。必须赞一个！/空姐服务笑容可掬，点赞[称赞]/安检很快，值机快捷，空乘服务好/延误，三点和四点的航班都正常飞走了。我们的等到快六点
2019/2/8,SZX,KHN,5,机场商品多，空乘服务好，餐食好吃，/空乘服务好，机场商品多，餐食好吃，
2019/2/9,SZX,KHN,4.29,准时抵达，值机快捷，空乘服务好，机场商品多，
2019/2/10,KHN,PVG,5,准时抵达，餐食好吃，值机快捷，机场商品多，
2019/2/11,SZX,KHN,5,机场商品多，值机快捷，餐食好吃，座椅舒适，安检很快，准时抵达，空乘服务好，
2019/2/19,KHN,PVG,2.6,遇气流颠簸太凶了！吓得半死[生气][无语][无语][无语][无语][无语][无语][无语][无语][无语][无语][无语][无语][无语][无语][无语][无语]
2019/2/26,SZX,KHN,4.67,值机快捷，座椅舒适，准时抵达，安检很快，餐食好吃，空乘服务好，机场商品多，
2019/2/5,PVG,KHN,4.17,准时抵达，值机快捷，空乘服务好，安检很快，
2019/2/11,KHN,SZX,4.67,到港没有后续行程，停机老跑道的机位，坐摆渡太远了
2019/2/12,PVG,KHN,5,空乘服务好，
2019/2/18,PVG,KHN,5,安检很快，空乘服务好，餐食好吃，
2019/2/1,SZX,SHA,3.57,延误，延误三个小时，3个小时！！！搞什么飞机
2019/2/3,SZX,SHA,3.5,我那个验证身份证的窗口很慢
2019/2/13,SZX,SHA,5,准时抵达，值机快捷，座椅舒适，机场商品多，空乘服务好，安检很快，
2019/2/19,SZX,SHA,4.86,餐食好吃，延误，
2019/2/27,SZX,SHA,4.45,准时抵达，值机快捷，安检很快，
2019/2/2,SHA,SZX,5,空乘服务好，对无陪儿童很贴心
2019/2/5,SHA,SZX,4.89,准时抵达，值机快捷，空乘服务好，
2019/2/7,SHA,SZX,4.83,[开心]不错 餐食好吃，
2019/2/9,SHA,SZX,4.5,深航飞机总是停靠停机位，好烦/延误，客舱拥挤，
2019/2/22,SHA,SZX,3.5,第一次遇到航班延误，延续了3个多小时，在机场内等了一个半小时，在飞机上还等了1个半小时。以后还是首选南航吧
2019/2/24,SHA,SZX,3.68,安检很慢，非常不准时，即使正常起飞，也不可能准时到达。而且貌似深航和虹桥关系不好，同航段都走了，就深航流控。吐槽下深圳机场，就没有哪个口离出口近的。餐食也是谷底的水准
2019/2/5,SZX,PVG,5,机场商品多，准时抵达，空乘服务好，安检很快，值机快捷，餐食好吃，座椅舒适，
2019/2/10,SZX,PVG,4.8,座椅舒适，安检很快，值机快捷，提前43分钟到达！棒棒的
2019/2/16,SZX,PVG,5,空乘服务好，安检很快，机场商品多，准时抵达，
2019/2/17,SZX,PVG,4.71,值机快捷，餐食好吃，空乘服务好，安检很快，
2019/2/9,PVG,SZX,3.57,值机快捷，空乘服务好，不过晚点真的让人觉得很头疼，机场的现场人员也没个解释的，干巴巴的坐了一个小时，国人的服务意识确实提升了不少，但是到人文关怀层面来说，那就不是数量级的问题了[笑哭]
2019/2/19,PVG,SZX,5,起飞平稳很好
2019/2/21,PVG,SZX,4.43,值机快捷，空乘服务好，
2019/2/24,PVG,SZX,5,准时抵达，空乘服务好，机场商品多，座椅舒适，值机快捷，安检很快，餐食好吃，
2019/2/1,SZX,SHA,4.71,值机快捷，空乘服务好，座椅舒适，飞机比较新，机上娱乐设施比较齐全。飞行总体很平稳。餐食的米饭的米的质量一直不是很好，有待改进。空姐态度很好，服务很到位。总体还不错！
2019/2/6,SZX,SHA,5,准时抵达，座椅舒适，空乘服务好，安检很快，
2019/2/8,SZX,SHA,4.93,非常满意/值机快捷，座椅舒适，
2019/2/13,SZX,SHA,4.57,座椅舒适，值机快捷，准时抵达，空乘服务好，
